REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2022/05/01 00:05:00,5655.72,314.41,TRADE
QLD1,2022/05/01 00:10:00,5526.44,309.72,TRADE
QLD1,2022/05/01 00:15:00,5539.39,315.84,TRADE
QLD1,2022/05/01 00:20:00,5495.85,325.02,TRADE
QLD1,2022/05/01 00:25:00,5520.57,359.05,TRADE
QLD1,2022/05/01 00:30:00,5456.1,352.20,TRADE
QLD1,2022/05/01 00:35:00,5489.87,352.30,TRADE
QLD1,2022/05/01 00:40:00,5500.45,363.89,TRADE
QLD1,2022/05/01 00:45:00,5433.56,352.20,TRADE
QLD1,2022/05/01 00:50:00,5399.55,325.02,TRADE
QLD1,2022/05/01 00:55:00,5412.41,325.02,TRADE
QLD1,2022/05/01 01:00:00,5396.77,325.02,TRADE
QLD1,2022/05/01 01:05:00,5338.7,310.81,TRADE
QLD1,2022/05/01 01:10:00,5386.13,325.02,TRADE
QLD1,2022/05/01 01:15:00,5335.67,310.78,TRADE
QLD1,2022/05/01 01:20:00,5372.65,313,TRADE
QLD1,2022/05/01 01:25:00,5353.24,311.33,TRADE
QLD1,2022/05/01 01:30:00,5282.62,308.46,TRADE
QLD1,2022/05/01 01:35:00,5323.79,310.72,TRADE
QLD1,2022/05/01 01:40:00,5300.43,310.56,TRADE
QLD1,2022/05/01 01:45:00,5261.08,301.52,TRADE
QLD1,2022/05/01 01:50:00,5201.84,306.04,TRADE
QLD1,2022/05/01 01:55:00,5242.81,312.32,TRADE
QLD1,2022/05/01 02:00:00,5250.69,312.43,TRADE
QLD1,2022/05/01 02:05:00,5208.41,308.23,TRADE
QLD1,2022/05/01 02:10:00,5218.63,308.27,TRADE
QLD1,2022/05/01 02:15:00,5207.47,308.20,TRADE
QLD1,2022/05/01 02:20:00,5232.66,310.32,TRADE
QLD1,2022/05/01 02:25:00,5190.46,308.04,TRADE
QLD1,2022/05/01 02:30:00,5172.15,286.24,TRADE
QLD1,2022/05/01 02:35:00,5168.24,303.98,TRADE
QLD1,2022/05/01 02:40:00,5202.13,286.40,TRADE
QLD1,2022/05/01 02:45:00,5151.78,245.39,TRADE
QLD1,2022/05/01 02:50:00,5138.24,250.53,TRADE
QLD1,2022/05/01 02:55:00,5182.08,252.39,TRADE
QLD1,2022/05/01 03:00:00,5180.99,282.61,TRADE
QLD1,2022/05/01 03:05:00,5197.53,287.05,TRADE
QLD1,2022/05/01 03:10:00,5152.6,280.67,TRADE
QLD1,2022/05/01 03:15:00,5144.25,280.60,TRADE
QLD1,2022/05/01 03:20:00,5164.59,277,TRADE
QLD1,2022/05/01 03:25:00,5201.38,284.60,TRADE
QLD1,2022/05/01 03:30:00,5187.12,284.46,TRADE
QLD1,2022/05/01 03:35:00,5152.8,282.45,TRADE
QLD1,2022/05/01 03:40:00,5152.73,282.44,TRADE
QLD1,2022/05/01 03:45:00,5157.97,282.48,TRADE
QLD1,2022/05/01 03:50:00,5144.5,282.38,TRADE
QLD1,2022/05/01 03:55:00,5169.52,284.33,TRADE
QLD1,2022/05/01 04:00:00,5132.62,282.33,TRADE
QLD1,2022/05/01 04:05:00,5189.58,277,TRADE
QLD1,2022/05/01 04:10:00,5131.96,200.22,TRADE
QLD1,2022/05/01 04:15:00,5136.24,199,TRADE
