REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2020/05/01 00:30:00,5575.37,42.22,TRADE
QLD1,2020/05/01 01:00:00,5422.68,41.51,TRADE
QLD1,2020/05/01 01:30:00,5355.8,43.94,TRADE
QLD1,2020/05/01 02:00:00,5312.66,42.21,TRADE
QLD1,2020/05/01 02:30:00,5297.32,40.02,TRADE
QLD1,2020/05/01 03:00:00,5259.23,36.95,TRADE
QLD1,2020/05/01 03:30:00,5244.37,35.51,TRADE
QLD1,2020/05/01 04:00:00,5253.76,32.98,TRADE
QLD1,2020/05/01 04:30:00,5282.07,37.51,TRADE
QLD1,2020/05/01 05:00:00,5366.56,40.60,TRADE
QLD1,2020/05/01 05:30:00,5464.92,43.80,TRADE
QLD1,2020/05/01 06:00:00,5605.83,44.75,TRADE
QLD1,2020/05/01 06:30:00,5870.82,37.87,TRADE
QLD1,2020/05/01 07:00:00,6070.2,41.16,TRADE
QLD1,2020/05/01 07:30:00,6111.41,38.11,TRADE
QLD1,2020/05/01 08:00:00,5748.78,22.41,TRADE
QLD1,2020/05/01 08:30:00,5697.82,21.82,TRADE
QLD1,2020/05/01 09:00:00,5626.89,-19.83,TRADE
QLD1,2020/05/01 09:30:00,5364.89,-39.67,TRADE
QLD1,2020/05/01 10:00:00,5216.4,-34.26,TRADE
QLD1,2020/05/01 10:30:00,5087.54,-38.50,TRADE
QLD1,2020/05/01 11:00:00,4944.21,-68.74,TRADE
QLD1,2020/05/01 11:30:00,4924.68,-191.80,TRADE
QLD1,2020/05/01 12:00:00,4923.65,-50.64,TRADE
QLD1,2020/05/01 12:30:00,4981.96,-43.93,TRADE
QLD1,2020/05/01 13:00:00,5056.25,-28.62,TRADE
QLD1,2020/05/01 13:30:00,5108.9,-46.48,TRADE
QLD1,2020/05/01 14:00:00,5235.7,-44.75,TRADE
QLD1,2020/05/01 14:30:00,5352.55,-12.11,TRADE
QLD1,2020/05/01 15:00:00,5485.24,8.25,TRADE
QLD1,2020/05/01 15:30:00,5711.82,16.80,TRADE
QLD1,2020/05/01 16:00:00,5956.12,10.77,TRADE
QLD1,2020/05/01 16:30:00,6197.18,26.90,TRADE
QLD1,2020/05/01 17:00:00,6577.71,38.57,TRADE
QLD1,2020/05/01 17:30:00,6765.1,46.16,TRADE
QLD1,2020/05/01 18:00:00,6982.59,50.19,TRADE
